valor;nfotos;cilindradas;cor;km;cambio;ano;anuncio;cidade;estado
73900;8;3.5;Prata;92000;Automática;2012;Veículo de loja;Ribeirão Preto;SP
78990;6;3.5;Branco;50451;Automática;2012;Veículo de loja;Rio de Janeiro;RJ
82780;8;3.2;Preto;125000;Automática;2010;Veículo de loja;Campinas;SP
87900;8;3.2;Branco;96000;Automática;2010;Veículo de loja;Salvador;BA
87990;8;3.2;Prata;84900;Manual;2009;Veículo de loja;Osasco;SP
88790;8;3.2;Prata;114000;Automática;2010;Veículo de loja;Santo André;SP
89500;8;3.5;Preto;70000;Automática;2012;Veículo de loja;São José dos Campos;SP
89900;8;3.5;Branco;70000;Automática;2011;Veículo de loja;São Paulo;SP
89999;8;3.2;Branco;112000;Automática;2010;Veículo de loja;São Paulo;SP
95900;8;3.2;Prata;94000;Automática;2010;Veículo de loja;Bragança Paulista;SP
98000;8;3.2;Preto;72000;Automática;2009;Veículo de loja;São Paulo;SP
98500;7;3.5;Preto;67000;Automática;2011;Veículo de loja;Juiz de Fora;MG
108850;8;3.2;Preto;62785;Automática;2010;Veículo de loja;São Bernardo do Campo;SP
109800;8;3.2;Cinza;80000;Automática;2011;Veículo de loja;São Paulo;SP
109900;8;3.2;Prata;56000;Automática;2011;Veículo de loja;Belo Horizonte;MG
109900;8;3.2;Prata;67000;Automática;2011;Veículo de loja;Belo Horizonte;MG
112900;8;3.2;Prata;62000;Automática;2012;Veículo de loja;Limeira;SP
118850;8;3.2;Branco;28983;Automática;2012;Veículo de loja;São Bernardo do Campo;SP
119900;8;3.2;Branco;54000;Automática;2012;Veículo de loja;São Paulo;SP
128000;7;3.5;Branco;3800;Automática;2015;Veículo de loja;Uberlândia;MG
128800;8;3.2;Cinza;49216;Automática Sequencial;2013;Veículo de loja;São Paulo;SP
129980;8;3.2;Prata;22000;Automática;2013;Veículo de loja;Campinas;SP
77000;8;3.2;Preto;149258;Automática;2009;Veículo de concessionária;São Paulo;SP
142990;8;3.2;Indefinida;0;Automática;2015;Veículo de loja;São Paulo;SP
144990;8;3.2;Prata;21000;Automática;2014;Veículo de loja;Rio de Janeiro;RJ
155000;8;3.2;Cinza;9900;Automática;2014;Veículo de loja;Contagem;MG
168990;8;3.2;Indefinida;0;Automática;2015;Veículo de loja;São Paulo;SP
85000;8;3.5;Prata;45183;Automática;2011;Veículo de concessionária;São Paulo;SP
86900;6;3.5;Preto;51000;Automática;2011;Veículo de concessionária;Belo Horizonte;MG
89900;8;3.5;Prata;30000;Automática;2011;Veículo de concessionária;Guarulhos;SP
92900;6;3.5;Prata;29000;Automática;2013;Veículo de concessionária;Natal;RN
94790;8;3.2;Preto;71000;Automática;2010;Veículo de concessionária;Santos;SP
94900;8;3.2;Prata;1e+05;Automática;2011;Veículo de concessionária;São José do Rio Preto;SP
98890;7;3.2;Prata;1e+05;Automática;2012;Veículo de concessionária;São José do Rio Preto;SP
98900;8;3.2;Preto;73000;Automática;2011;Veículo de concessionária;São Paulo;SP
99900;8;3.5;Prata;38000;Automática;2012;Veículo de concessionária;Belo Horizonte;MG
103890;8;3.5;Prata;27390;Automática;2013;Veículo de concessionária;Americana;SP
106500;8;3.5;Prata;30000;Automática;2013;Veículo de concessionária;Belo Horizonte;MG
109900;6;3.2;Branco;89000;Automática;2011;Veículo de concessionária;Curitiba;PR
110900;8;3.2;Cinza;69768;Automática;2013;Veículo de concessionária;Guarulhos;SP
111990;8;3.2;Branco;83700;Automática;2012;Veículo de concessionária;São Paulo;SP
113990;7;3.2;Prata;34120;Automática;2013;Veículo de concessionária;Ipatinga;MG
116990;8;3.2;Cinza;40000;Automática;2014;Veículo de concessionária;Goiânia;GO
117000;8;3.5;Branco;27753;Automática;2014;Veículo de concessionária;Guarulhos;SP
117000;8;3.2;Preto;33000;Automática;2013;Veículo de concessionária;Belo Horizonte;MG
117900;8;3.5;Preto;17000;Automática;2014;Veículo de concessionária;Santos;SP
119900;8;3.5;Preto;16500;Automática;2014;Veículo de concessionária;Praia Grande;SP
139900;7;3.2;Preto;22000;Automática;2013;Veículo de concessionária;Uberlândia;MG
144900;8;3.2;Prata;25000;Automática;2014;Veículo de concessionária;Jundiaí;SP
146000;8;3.2;Marrom;48000;Automática;2014;Veículo de concessionária;Franca;SP
147720;8;3.5;Marrom;0;Automática;2015;Veículo de concessionária;São Paulo;SP
147720;8;3.2;Preto;0;Automática;2015;Veículo de concessionária;São Paulo;SP
150890;7;3.2;Preto;8000;Automática;2014;Veículo de concessionária;São Paulo;SP
155490;6;3.5;Branco;0;Automática;2015;Veículo de concessionária;São Paulo;SP
155490;6;3.5;Branco;0;Automática;2015;Veículo de concessionária;São Paulo;SP
155490;6;3.5;Prata;0;Automática;2015;Veículo de concessionária;São Paulo;SP
172890;8;3.2;Preto;0;Automática;2015;Veículo de concessionária;São Paulo;SP
181990;6;3.2;Branco;0;Automática;2015;Veículo de concessionária;São Paulo;SP
81900;8;3.2;Preto;87000;Automática;2009;Veículo de particular;Paulínia;SP
83200;6;3.5;Preto;58000;Automática;2011;Veículo de particular;Rio de Janeiro;RJ
84900;8;3.2;Preto;98000;Automática;2009;Veículo de particular;Rio de Janeiro;RJ
85000;8;3.5;Preto;59000;Automática;2012;Veículo de particular;São Paulo;SP
85900;8;3.5;Prata;46000;Automática;2011;Veículo de particular;Imbituva;PR
86000;8;3.2;Cinza;86178;Automática;2010;Veículo de particular;Campo Limpo Paulista;SP
87500;8;3.5;Preto;32000;Automática;2013;Veículo de particular;Santo André;SP
