Sigla;Código;Município;Renda familiar - per capita - média (1991);Alfabetizados - pessoas 15 anos e mais (1991);
AC;1200013;Acrelândia;;58,708;
AC;1200054;Assis Brasil;0,62;64,094;
AC;1200104;Brasiléia;0,61;59,889;
AC;1200138;Bujari;;54,508;
AC;1200179;Capixaba;;50,37;
AC;1200203;Cruzeiro do Sul;0,51;62,609;
AC;1200252;Epitaciolândia;;66,767;
AC;1200302;Feijó;0,44;42,439;
AC;1200328;Jordão;;10,805;
AC;1200336;Mâncio Lima;0,32;53,622;
AC;1200344;Manoel Urbano;0,36;43,637;
AC;1200351;Marechal Thaumaturgo;;19,997;
AC;1200385;Plácido de Castro;0,47;62,733;
AC;1200393;Porto Walter;;26,576;
AC;1200401;Rio Branco;1,24;78,851;
AC;1200427;Rodrigues Alves;;42,562;
AC;1200435;Santa Rosa do Purus;;24,751;
AC;1200450;Senador Guiomard;0,68;63,212;
AC;1200500;Sena Madureira;0,5;49,016;
AC;1200609;Tarauacá;0,38;39,406;
AC;1200708;Xapuri;0,55;58,751;
AC;1200807;Porto Acre;;58,275;
AL;2700102;Água Branca;0,24;46,889;
AL;2700201;Anadia;0,35;40,597;
AL;2700300;Arapiraca;0,65;58,115;
AL;2700409;Atalaia;0,34;35,512;
AL;2700508;Barra de Santo Antônio;0,27;46,201;
AL;2700607;Barra de São Miguel;0,44;44,802;
AL;2700706;Batalha;0,44;43,988;
AL;2700805;Belém;0,37;42,938;
AL;2700904;Belo Monte;0,25;43,007;
AL;2701001;Boca da Mata;0,38;48,028;
AL;2701100;Branquinha;0,23;24,83;
AL;2701209;Cacimbinhas;0,36;35,542;
AL;2701308;Cajueiro;0,33;38,397;
AL;2701357;Campestre;;49,523;
AL;2701407;Campo Alegre;0,42;46,858;
AL;2701506;Campo Grande;0,26;34,909;
AL;2701605;Canapi;0,29;33,002;
AL;2701704;Capela;0,31;37,068;
AL;2701803;Carneiros;0,29;54,966;
AL;2701902;Chã Preta;0,29;38,442;
AL;2702009;Coité do Nóia;0,31;38,448;
AL;2702108;Colônia Leopoldina;0,28;41,852;
AL;2702207;Coqueiro Seco;0,56;55,633;
AL;2702306;Coruripe;0,45;48,646;
AL;2702355;Craíbas;0,29;30,039;
AL;2702405;Delmiro Gouveia;0,42;60,049;
AL;2702504;Dois Riachos;0,29;36,99;
AL;2702553;Estrela de Alagoas;;34,423;
AL;2702603;Feira Grande;0,28;38,749;
AL;2702702;Feliz Deserto;0,34;46,436;
AL;2702801;Flexeiras;0,29;39,497;
AL;2702900;Girau do Ponciano;0,31;33,133;
AL;2703007;Ibateguara;0,28;38,085;
AL;2703106;Igaci;0,27;36,703;
AL;2703205;Igreja Nova;0,27;30,88;
AL;2703304;Inhapi;0,23;30,032;
AL;2703403;Jacaré dos Homens;0,37;45,899;
AL;2703502;Jacuípe;0,35;30,7;
AL;2703601;Japaratinga;0,36;48,49;
AL;2703700;Jaramataia;0,25;30,407;
AL;2703759;Jequiá da Praia;;;
AL;2703809;Joaquim Gomes;0,29;31,848;
AL;2703908;Jundiá;0,37;44,956;
AL;2704005;Junqueiro;0,34;45,094;
AL;2704104;Lagoa da Canoa;0,3;34,514;
AL;2704203;Limoeiro de Anadia;0,28;36,599;
AL;2704302;Maceió;1,32;77,828;
AL;2704401;Major Isidoro;0,36;39,181;
AL;2704500;Maragogi;0,32;45,133;
AL;2704609;Maravilha;0,25;40,236;
AL;2704708;Marechal Deodoro;0,41;50,456;
AL;2704807;Maribondo;0,44;47,067;
AL;2704906;Mar Vermelho;0,29;46,436;
AL;2705002;Mata Grande;0,25;37,136;
AL;2705101;Matriz de Camaragibe;0,3;44,937;
AL;2705200;Messias;0,45;49,382;
AL;2705309;Minador do Negrão;0,31;43,298;
AL;2705408;Monteirópolis;0,24;36,235;
AL;2705507;Murici;0,34;42,438;
AL;2705606;Novo Lino;0,5;35,365;
AL;2705705;Olho d'Água das Flores;0,43;53,277;
AL;2705804;Olho d'Água do Casado;0,41;41,453;
AL;2705903;Olho d'Água Grande;0,23;27,958;
AL;2706000;Olivença;0,21;41,831;
AL;2706109;Ouro Branco;0,24;49,537;
AL;2706208;Palestina;0,27;46,633;
AL;2706307;Palmeira dos Índios;0,5;59,784;
AL;2706406;Pão de Açúcar;0,44;49,418;
AL;2706422;Pariconha;;45,742;
AL;2706448;Paripueira;;47,978;
AL;2706505;Passo de Camaragibe;0,3;42,543;
AL;2706604;Paulo Jacinto;0,24;42,26;
AL;2706703;Penedo;0,58;59,319;
AL;2706802;Piaçabuçu;0,45;47,217;
AL;2706901;Pilar;0,45;49,684;
AL;2707008;Pindoba;0,38;43,563;
AL;2707107;Piranhas;0,74;57,427;
AL;2707206;Poço das Trincheiras;0,2;40,736;
AL;2707305;Porto Calvo;0,44;45,394;
AL;2707404;Porto de Pedras;0,26;35,399;
AL;2707503;Porto Real do Colégio;0,3;42,763;
AL;2707602;Quebrangulo;0,36;39,762;
AL;2707701;Rio Largo;0,51;63,365;
AL;2707800;Roteiro;0,33;32,646;
AL;2707909;Santa Luzia do Norte;0,46;64,363;
AL;2708006;Santana do Ipanema;0,37;54,191;
AL;2708105;Santana do Mundaú;0,32;34,15;
AL;2708204;São Brás;0,28;38,995;
AL;2708303;São José da Laje;0,38;43,899;
AL;2708402;São José da Tapera;0,19;30,318;
AL;2708501;São Luís do Quitunde;0,36;37,076;
AL;2708600;São Miguel dos Campos;0,48;52,52;
AL;2708709;São Miguel dos Milagres;0,31;50,629;
AL;2708808;São Sebastião;0,28;34,792;
AL;2708907;Satuba;0,56;61,979;
AL;2708956;Senador Rui Palmeira;0,21;47,028;
AL;2709004;Tanque d'Arca;0,28;41,663;
AL;2709103;Taquarana;0,29;38,228;
AL;2709152;Teotônio Vilela;0,37;45,483;
AL;2709202;Traipu;0,18;32,954;
AL;2709301;União dos Palmares;0,42;45,182;
AL;2709400;Viçosa;0,4;43,963;
AM;1300029;Alvarães;0,58;55,309;
AM;1300060;Amaturá;0,31;54,8;
AM;1300086;Anamã;0,55;61,634;
AM;1300102;Anori;0,5;56,24;
AM;1300144;Apuí;0,71;67,364;
AM;1300201;Atalaia do Norte;0,52;37,872;
AM;1300300;Autazes;0,57;65,985;
AM;1300409;Barcelos;0,6;57,152;
AM;1300508;Barreirinha;0,42;78,779;
AM;1300607;Benjamin Constant;0,76;56,718;
AM;1300631;Beruri;0,34;41,367;
AM;1300680;Boa Vista do Ramos;0,38;75,591;
AM;1300706;Boca do Acre;0,48;46,891;
AM;1300805;Borba;0,48;64,623;
AM;1300839;Caapiranga;0,47;51,832;
AM;1300904;Canutama;0,39;40,839;
AM;1301001;Carauari;0,48;39,081;
AM;1301100;Careiro;0,76;48,399;
AM;1301159;Careiro da Várzea;0,5;62,284;
AM;1301209;Coari;0,43;54,197;
AM;1301308;Codajás;0,61;55,366;
AM;1301407;Eirunepé;0,31;41,394;
AM;1301506;Envira;0,29;27,912;
AM;1301605;Fonte Boa;0,45;49,563;
AM;1301654;Guajará;0,39;42,333;
AM;1301704;Humaitá;0,51;49,449;
AM;1301803;Ipixuna;0,21;33,101;
AM;1301852;Iranduba;0,61;70,381;
AM;1301902;Itacoatiara;0,64;80,224;
AM;1301951;Itamarati;0,49;17,26;
AM;1302009;Itapiranga;0,51;83,551;
AM;1302108;Japurá;0,47;28,625;
AM;1302207;Juruá;0,33;37,271;
AM;1302306;Jutaí;0,43;41,025;
AM;1302405;Lábrea;0,45;39,689;
AM;1302504;Manacapuru;0,57;66,452;
AM;1302553;Manaquiri;0,55;59,737;
AM;1302603;Manaus;1,55;91,088;
AM;1302702;Manicoré;0,46;58,137;
AM;1302801;Maraã;0,38;36,886;
AM;1302900;Maués;0,76;76,624;
AM;1303007;Nhamundá;0,42;75,65;
AM;1303106;Nova Olinda do Norte;0,51;70,293;
AM;1303205;Novo Airão;0,43;73,864;
AM;1303304;Novo Aripuanã;0,57;54,289;
AM;1303403;Parintins;0,6;83,395;
AM;1303502;Pauini;0,54;15,826;
AM;1303536;Presidente Figueiredo;1,17;82,71;
AM;1303569;Rio Preto da Eva;0,66;73,217;
AM;1303601;Santa Isabel do Rio Negro;0,29;58,069;
AM;1303700;Santo Antônio do Içá;0,4;44,87;
AM;1303809;São Gabriel da Cachoeira;0,71;66,973;
AM;1303908;São Paulo de Olivença;0,23;54,485;
AM;1303957;São Sebastião do Uatumã;0,88;84,249;
AM;1304005;Silves;0,74;89,336;
AM;1304062;Tabatinga;0,57;72,082;
AM;1304104;Tapauá;0,25;30,873;
AM;1304203;Tefé;0,61;66,806;
AM;1304237;Tonantins;0,32;69,302;
AM;1304260;Uarini;0,71;61,899;
AM;1304302;Urucará;0,61;80,658;
AM;1304401;Urucurituba;0,25;77,091;
AP;1600055;Serra do Navio;;77,495;
AP;1600105;Amapá;0,58;73,543;
AP;1600154;Pedra Branca do Amaparí;;44,831;
AP;1600204;Calçoene;0,77;79,985;
AP;1600212;Cutias;;67,141;
AP;1600238;Ferreira Gomes;0,41;78,864;
AP;1600253;Itaubal;;57,05;
AP;1600279;Laranjal do Jari;0,87;67,698;
AP;1600303;Macapá;1,3;86,681;
AP;1600402;Mazagão;0,49;54,475;
AP;1600501;Oiapoque;0,99;79,06;
AP;1600535;Porto Grande;;67,688;
AP;1600550;Pracuúba;;66,925;
AP;1600600;Santana;0,83;76,782;
AP;1600709;Tartarugalzinho;0,51;66,462;
AP;1600808;Vitória do Jari;;60,811;
BA;2900108;Abaíra;0,41;68,268;
BA;2900207;Abaré;0,42;52,547;
BA;2900306;Acajutiba;0,39;54,923;
BA;2900355;Adustina;0,33;34,629;
BA;2900405;Água Fria;0,22;49,596;
BA;2900504;Érico Cardoso;0,35;46,311;
BA;2900603;Aiquara;0,38;51,991;
BA;2900702;Alagoinhas;0,81;77,335;
BA;2900801;Alcobaça;0,47;50,308;
BA;2900900;Almadina;0,23;46,606;
BA;2901007;Amargosa;0,44;58,602;
BA;2901106;Amélia Rodrigues;0,48;68,722;
BA;2901155;América Dourada;0,34;60,333;
BA;2901205;Anagé;0,26;52,391;
BA;2901304;Andaraí;0,43;43,581;
BA;2901353;Andorinha;0,32;49,686;
BA;2901403;Angical;0,35;47,863;
BA;2901502;Anguera;0,27;59,339;
BA;2901601;Antas;0,38;46,739;
BA;2901700;Antônio Cardoso;0,22;47,147;
BA;2901809;Antônio Gonçalves;0,28;52,987;
BA;2901908;Aporá;0,32;47,392;
BA;2901957;Apuarema;0,27;45,889;
BA;2902005;Aracatu;0,2;52,596;
BA;2902054;Araças;0,31;44,674;
BA;2902104;Araci;0,24;37,445;
BA;2902203;Aramari;0,35;60,645;
BA;2902252;Arataca;0,25;48,685;
BA;2902302;Aratuípe;0,36;42,924;
BA;2902401;Aurelino Leal;0,3;50;
BA;2902500;Baianópolis;0,27;44,987;
BA;2902609;Baixa Grande;0,23;51,578;
BA;2902658;Banzaê;0,31;47,049;
BA;2902708;Barra;0,26;49,182;
BA;2902807;Barra da Estiva;0,34;60,176;
BA;2902906;Barra do Choça;0,39;40,642;
BA;2903003;Barra do Mendes;0,39;71,567;
BA;2903102;Barra do Rocha;0,26;33,283;
BA;2903201;Barreiras;0,94;70,252;
BA;2903235;Barro Alto;0,33;67,284;
BA;2903276;Barrocas;;;
BA;2903300;Governador Lomanto Júnior;0,2;57,088;
BA;2903409;Belmonte;0,41;52,938;
BA;2903508;Belo Campo;0,37;52,005;
BA;2903607;Biritinga;0,32;54,552;
BA;2903706;Boa Nova;0,27;38,927;
